"Dam"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
13.50021486096304,  3.167588105E+001,  2.578117342E-001,  1.420656024E+007,  2.187748437E+004
13.66666666666667,  3.107543874E+001,  2.551512472E-001,  1.422535989E+007,  2.203115470E+004
13.66688169481683,  3.107489774E+001,  2.554462544E-001,  1.422538394E+007,  2.203135244E+004
13.83333333333333,  3.049575445E+001,  2.529149596E-001,  1.424383053E+007,  2.218355149E+004
13.83354852586614,  3.049500270E+001,  2.531106969E-001,  1.424385415E+007,  2.218374757E+004
14.00000000000000,  2.993139421E+001,  2.511162144E-001,  1.426195769E+007,  2.233473600E+004
14.00021535420503,  2.993108183E+001,  2.513129740E-001,  1.426198089E+007,  2.233493084E+004
14.16666666666667,  2.937162125E+001,  2.499185332E-001,  1.427974800E+007,  2.248502096E+004
14.16688217995095,  2.937094334E+001,  2.501895497E-001,  1.427977079E+007,  2.248521507E+004
14.33333333333333,  2.882549030E+001,  2.493465081E-001,  1.429720587E+007,  2.263475994E+004
14.50000000000000,  2.829850184E+001,  2.497871441E-001,  1.431434255E+007,  2.278443856E+004
14.66666666666667,  2.779167612E+001,  2.517933969E-001,  1.433116773E+007,  2.293481656E+004
14.83333333333333,  2.729547724E+001,  2.565441291E-001,  1.434769389E+007,  2.308713346E+004
15.00000000000000,  2.681150899E+001,  2.675329047E-001,  1.436392463E+007,  2.324384899E+004
15.11118781177514,  2.650945381E+001,  2.869383646E-001,  1.437459590E+007,  2.335426531E+004
15.16666666666667,  2.633816865E+001,  2.745713567E-001,  1.437987354E+007,  2.341056866E+004
15.16688308124180,  2.633770897E+001,  2.747929318E-001,  1.437989406E+007,  2.341078275E+004
15.33333333333333,  2.584743647E+001,  2.396390009E-001,  1.439552633E+007,  2.356321488E+004
15.33354989013272,  2.584681113E+001,  2.397308216E-001,  1.439554648E+007,  2.356340178E+004
15.50000000000000,  2.538632050E+001,  2.303059030E-001,  1.441089513E+007,  2.370325077E+004
15.66666666666667,  2.496280515E+001,  2.433752864E-001,  1.442599672E+007,  2.384396809E+004
15.72044695363741,  2.484569479E+001,  2.598062766E-001,  1.443081806E+007,  2.389251215E+004
15.83333333333333,  2.453296681E+001,  2.289076430E-001,  1.444085134E+007,  2.399126658E+004
15.83355030293451,  2.453254682E+001,  2.291532622E-001,  1.444087050E+007,  2.399144557E+004
16.00000000000000,  2.409954221E+001,  2.179143536E-001,  1.445544072E+007,  2.412482527E+004
16.00021710320803,  2.409896579E+001,  2.179818921E-001,  1.445545955E+007,  2.412499564E+004
16.16666666666667,  2.368055464E+001,  2.114410513E-001,  1.446977509E+007,  2.425352777E+004
16.16688390124099,  2.368011746E+001,  2.116909557E-001,  1.446979361E+007,  2.425369332E+004
