"S-15-114"
Time (hr),Q+ (ft^3/s),Q- (ft^3/s),V+ (ft^3),V- (ft^3)
2.333333333333333,  4.430576385E+002,  1.018476613E-004,  8.818079790E+006,  1.552804282E+003
2.435966863547905,  4.215176399E+002,  1.466360347E-002,  8.977742503E+006,  1.553173976E+003
2.500000000000000,  4.087192636E+002,  1.005823369E-002,  9.073419146E+006,  1.555348471E+003
2.657768052515975,  3.794102321E+002,  1.899924225E-002,  9.297085935E+006,  1.563161533E+003
2.666666666666667,  3.778185166E+002,  1.137926999E-002,  9.309214803E+006,  1.563616594E+003
2.833333333333333,  3.499085976E+002,  7.712147756E-005,  9.527369198E+006,  1.564713114E+003
3.000000000000000,  3.246542141E+002,  8.207164181E-003,  9.729607393E+006,  1.565946517E+003
3.052724322341438,  3.170893657E+002,  1.614884979E-002,  9.790506016E+006,  1.568249750E+003
3.166666666666667,  3.015314973E+002,  1.154218933E-002,  9.917343134E+006,  1.572513868E+003
3.204874548224402,  2.964992212E+002,  1.526688183E-002,  9.958469612E+006,  1.574166214E+003
3.333333333333333,  2.802280124E+002,  3.735987312E-004,  1.009179530E+007,  1.575769034E+003
3.500000000000000,  2.602060749E+002,  2.193542443E-004,  1.025385708E+007,  1.575928997E+003
3.556624379998368,  2.538568927E+002,  2.285570326E-004,  1.030624732E+007,  1.575971485E+003
3.666666666666667,  2.424275379E+002,  1.141239964E-005,  1.040450909E+007,  1.575994121E+003
3.833333333333333,  2.270054375E+002,  4.156857125E-003,  1.054523218E+007,  1.576753725E+003
3.903752878113337,  2.210851628E+002,  1.124187126E-002,  1.060202193E+007,  1.578130726E+003
4.000000000000000,  2.134778817E+002,  2.216052238E-003,  1.067729320E+007,  1.579748466E+003
4.166666666666667,  2.013729186E+002,  5.277995519E-004,  1.080169053E+007,  1.580214852E+003
4.228707307609469,  1.972184402E+002,  3.050606074E-003,  1.084619790E+007,  1.580369131E+003
4.333333333333333,  1.905150237E+002,  2.432646443E-003,  1.091920412E+007,  1.580709394E+003
4.436910201502581,  1.843559967E+002,  7.952113360E-003,  1.098908224E+007,  1.582699551E+003
4.500000000000000,  1.807582216E+002,  3.609390644E-003,  1.103054202E+007,  1.583633476E+003
4.666666666666667,  1.718985035E+002,  5.732872057E-003,  1.113630101E+007,  1.586428599E+003
4.827217366817148,  1.641584690E+002,  7.121756696E-003,  1.123338326E+007,  1.590212923E+003
4.833333333333333,  1.638735685E+002,  7.098127951E-003,  1.123699441E+007,  1.590369527E+003
4.846683826854897,  1.632613928E+002,  8.085330692E-003,  1.124485560E+007,  1.590710677E+003
5.000000000000000,  1.564627551E+002,  8.567785816E-004,  1.133306215E+007,  1.592014504E+003
5.000199784570488,  1.564595884E+002,  8.569753257E-004,  1.133317468E+007,  1.592015120E+003
5.166666666666667,  1.496782263E+002,  7.645006179E-004,  1.142487790E+007,  1.592493716E+003
5.166866978106007,  1.496772083E+002,  7.645831653E-004,  1.142498584E+007,  1.592494268E+003
5.333333333333333,  1.433867368E+002,  7.140759970E-004,  1.151277332E+007,  1.592937622E+003
5.461980486004928,  1.388627200E+002,  8.230180991E-004,  1.157811955E+007,  1.593255714E+003
5.500000000000000,  1.375882216E+002,  3.235096039E-004,  1.159703751E+007,  1.593314972E+003
5.666666666666667,  1.322395627E+002,  7.186588601E-003,  1.167796420E+007,  1.595344323E+003
5.696537200156408,  1.313112135E+002,  9.720698781E-003,  1.169213418E+007,  1.596226225E+003
5.833333333333333,  1.272232894E+002,  3.739860399E-003,  1.175578081E+007,  1.598948707E+003
6.000000000000000,  1.225581249E+002,  2.860454988E-003,  1.183070459E+007,  1.600911774E+003
6.166666666666667,  1.181792726E+002,  2.164840125E-003,  1.190291096E+007,  1.602410188E+003
